id	sender	message	expected	actual	failedFields	suggestedBucket
sample-146	SBIINB	Your A/c XX1122 is credited with Rs. 75,000.00 on 01-May-26 by Salary. Avl Bal Rs. 1,20,000.00.	{"transactionType":"credit","amount":75000,"merchant":null,"accountCard":"1122"}	{"transactionType":"credit","amount":75000,"merchant":"Salary","accountCard":"1122"}	merchant	merchant-normalization
sample-172	SBIINB	Your A/c XX1000 is credited with Rs. 450.00 on 01-May-26 by Salary. Avl Bal Rs. 55,000.00.	{"transactionType":"credit","amount":450,"merchant":null,"accountCard":"1000"}	{"transactionType":"credit","amount":450,"merchant":"Salary","accountCard":"1000"}	merchant	merchant-normalization
sample-177	PNBSMS	Your A/c XX1865 is credited with Rs. 75.00 on 01-May-26 by Cash Deposit. Avl Bal Rs. 62,152.50.	{"transactionType":"credit","amount":75,"merchant":null,"accountCard":"1865"}	{"transactionType":"credit","amount":75,"merchant":"Cash Deposit","accountCard":"1865"}	merchant	merchant-normalization
sample-182	SBIINB	Your A/c XX2730 is credited with Rs. 250.00 on 01-May-26 by Salary. Avl Bal Rs. 69,305.00.	{"transactionType":"credit","amount":250,"merchant":null,"accountCard":"2730"}	{"transactionType":"credit","amount":250,"merchant":"Salary","accountCard":"2730"}	merchant	merchant-normalization
sample-187	PNBSMS	Your A/c XX3595 is credited with Rs. 950.00 on 01-May-26 by Cash Deposit. Avl Bal Rs. 76,457.50.	{"transactionType":"credit","amount":950,"merchant":null,"accountCard":"3595"}	{"transactionType":"credit","amount":950,"merchant":"Cash Deposit","accountCard":"3595"}	merchant	merchant-normalization
sample-192	SBIINB	Your A/c XX4460 is credited with Rs. 575.00 on 01-May-26 by Salary. Avl Bal Rs. 83,610.00.	{"transactionType":"credit","amount":575,"merchant":null,"accountCard":"4460"}	{"transactionType":"credit","amount":575,"merchant":"Salary","accountCard":"4460"}	merchant	merchant-normalization
sample-197	PNBSMS	Your A/c XX5325 is credited with Rs. 750.00 on 01-May-26 by Cash Deposit. Avl Bal Rs. 90,762.50.	{"transactionType":"credit","amount":750,"merchant":null,"accountCard":"5325"}	{"transactionType":"credit","amount":750,"merchant":"Cash Deposit","accountCard":"5325"}	merchant	merchant-normalization
sample-202	SBIINB	Your A/c XX6190 is credited with Rs. 1,450.00 on 01-May-26 by Salary. Avl Bal Rs. 97,915.00.	{"transactionType":"credit","amount":1450,"merchant":null,"accountCard":"6190"}	{"transactionType":"credit","amount":1450,"merchant":"Salary","accountCard":"6190"}	merchant	merchant-normalization
sample-207	PNBSMS	Your A/c XX7055 is credited with Rs. 1,075.00 on 01-May-26 by Cash Deposit. Avl Bal Rs. 105,067.50.	{"transactionType":"credit","amount":1075,"merchant":null,"accountCard":"7055"}	{"transactionType":"credit","amount":1075,"merchant":"Cash Deposit","accountCard":"7055"}	merchant	merchant-normalization
sample-212	SBIINB	Your A/c XX7920 is credited with Rs. 1,250.00 on 01-May-26 by Salary. Avl Bal Rs. 112,220.00.	{"transactionType":"credit","amount":1250,"merchant":null,"accountCard":"7920"}	{"transactionType":"credit","amount":1250,"merchant":"Salary","accountCard":"7920"}	merchant	merchant-normalization
sample-217	PNBSMS	Your A/c XX8785 is credited with Rs. 1,950.00 on 01-May-26 by Cash Deposit. Avl Bal Rs. 119,372.50.	{"transactionType":"credit","amount":1950,"merchant":null,"accountCard":"8785"}	{"transactionType":"credit","amount":1950,"merchant":"Cash Deposit","accountCard":"8785"}	merchant	merchant-normalization
